,Unnamed: 0,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
8,8,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6015,0.5992,0.6345
9,9,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6871,0.6706,0.7012
10,10,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-100.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.585,0.5595,0.6083
11,11,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-10.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5455,0.4849,0.5375
12,12,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-1.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6224,0.6057,0.5937
13,13,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.1,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6356,0.6267,0.6686
14,14,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.01,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6294,0.6542,0.6970000000000001
15,15,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-100.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5858,0.5505,0.6016
16,16,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-10.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6415,0.5907,0.6566
17,17,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-1.0,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5782,0.5074,0.5517
18,18,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.1,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.5972,0.5758,0.6004
19,19,0,5,lr-a5-5,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a5,results/lr-a5.output,results/auc_file_lr-a5.csv,results/test_auc_per_epoch_lr-a5.csv,results/param_optim_lr-a5.csv,0.6723,0.6482,0.6771
